AWM Call No. ,Box No. ,Harvard Call No.,Venkat Number,Regularized Name = last name of performer (this will be the term for alphabetization of the tapes),Title/Performers,Contents,Details on Back,Recording Date and Location,Notes on/in Tape Box
AWM SC 13044,11,,,Raghunathan,"Sudha Ragunathan,  K. Sivavamam, T. Vaidyanathan,  S. Karthick",GNB Compositions. Side A. Vara vallabha ramona - Hamsadhwawi - ADI -- Nirathamukha -- Udayachandrika - ADI -- Sivanananda Kamavardhini - Kamavardhini - Misrachary. Side B. Samarra Rathithe - Saranga Thartorgini -- Srichakraraja Nilaye - Sivasakthi -- Varadani Dune -- Rwrnachawdriica -- Neecharawambuja - Keeravani -- Sadapalaya - Mohbvan. ,y,,KKV
AWM SC 13045,11,,,Raghunathan,"Sudha Ragunathan,  K. Sivavamam, T. Vaidyanathan,  S. Karthick",Starts of a Stalwart (GNB Songs),y,,KKV
AWM SC 13046,11,,,Raghunathan,"Sudha Ragunathan, K. Sivavamam, T. Vaidyanathan,  S. Karthick",,y,,KKV
AWM SC 13047,11,,,Raghunathan,"Sudha Ragunathan, M.A. Sundaresan, Thiryvarur Vaidyanathan, S. Karthick",,y,,KKV
AWM SC 13048,11,,,Raghunathan,"Sudha Ragunathan, P. Sunder Rajan, Thiryvarar Vaidyanathan",Dikshitar Masterpieces,y,,KKV
AWM SC 13049,11,,,Raghunathan,"Sudha Ragunathan, P. Sunderajan, T. Vaidyanathan",Young masters,y,,KKV
AWM SC 13050,11,,,Raghunathan,"Sudha Ragunathan, Raghavendra Rao, T. Vaidyanathan, R. Raman, Nella Krishwan",Bharathiyar Padalhal,y,,
AWM SC 13051,11,,,Raghunathan,"Sudha Ragunathan,Vrama Ghakti, Samrajyamp, Embar Kannan, Marvarhundieaswaran",,y,,KKV
AWM SC 13052,11,,,Raghunathan,"Sudita Raghunathan, Kanakadhara, Mahishasura Mardin etc. ",,y,,KKV
AWM SC 13053(1),11,,,Raghuraman,Abhishek Raghuraman,Detroit concert 1999 (1 of 2),y,"Detroit, 1999",KKV
AWM SC 13053(2),11,,,Raghuraman,Abhishek Raghuraman,Detroit concert 1999 (2 of 2),y,"Detroit, 1999",KKV
AWM SC 13054(1),12,,,Rajan ,"Seetha Rajan, Jaushankar, C.P. Viswanath ",Detroit Concert (1 of 3),y,"Detroit, 7/18/1992",KKV
AWM SC 13054(2),12,,,Rajan ,"Seetha Rajan, Jaushankar, C.P. Viswanath ",Detroit Concert (2 of 3),y,"Detroit, 7/18/1992",KKV
AWM SC 13054(3),12,,,Rajan ,"Seetha Rajan, Jaushankar, C.P. Viswanath ",Detroit Concert (3 of 3),y,"Detroit, 7/18/1992",KKV
AWM SC 13055(1),12,,,Rajasekhar ,"Gita Rajasekhar, Sree Ramkumar, Vaidyanrahan",Vol. I ,,,
AWM SC 13055(2),12,,,Rajasekhar ,"Gita Rajasekhar, Sree Ramkumar, Vaidyanrahan",Vol. II ,,,
AWM SC 13056(1),12,,,Rama,"S.P. Rama,  Jai,  Venkatraman",Detroit (1 of 3),,"Detroit, 7/8/1994",KKV
AWM SC 13056(2),12,,,Rama,"S.P. Rama,  Jai,  Venkatraman",Detroit (2 of 3),,"Detroit, 7/8/1994",KKV
AWM SC 13056(3),12,,,Rama,"S.P. Rama,  Jai,  Venkatraman",Detroit (3 of 3),,"Detroit, 7/8/1994",KKV
AWM SC 13057(1),12,,,Rama Varma,"Aswati Tirunal Rama Varma, J. Balan, N. Venkatraman",House concert at Rabbakav's (1 of 2),,6/12/94,KKV
AWM SC 13057(2),12,,,Rama Varma,"Aswati Tirunal Rama Varma, J. Balan, N. Venkatraman",House concert at Rabbakav's (2 of 2),,6/12/94,KKV
AWM SC 13058(1),12,,,Ramachandran,Tiruchur V. Ramachandran - Carnatic Vocal,Detroit Concert (1 of 2),,"Detroit, 1/18/1984",
AWM SC 13058(2),12,,,Ramachandran,Tiruchur V. Ramachandran - Carnatic Vocal,Detroit Concert (2 of 2),,"Detroit, 1/18/1984",
AWM SC 13059(1),12,,,Ramachandran,"Trichur, V. Ramachandran, Jayashankar Balan, Srinivasan Duraiswamy",Detroit Concert (1 of 2),y,"Detroit, 6/16/1989",KKV
AWM SC 13059(2),12,,,Ramachandran,"Trichur, V. Ramachandran, Jayashankar Balan, Srinivasan Duraiswamy",Detroit Concert (2 of 2),y,"Detroit, 6/16/1989",KKV
AWM SC 13060(1),12,,,Ramachandran ,"Charumathy Ramachandran, Jayashankar Balan, C.P. Viswanath ",(1 of 2),y,"Detroit, 7/21/1989",KKV
AWM SC 13060(2),12,,,Ramachandran ,"Charumathy Ramachandran, Jayashankar Balan, C.P. Viswanath ",(2 of 2),y,"Detroit, 7/21/1989",KKV
AWM SC 13061(1),12,,,Ramachandran,V. Ramachandran,Purandara dasar and tamil compositions (1 of 2),y,6/14/92,KKV
AWM SC 13061(2),12,,,Ramachandran,V. Ramachandran,Purandara dasar and tamil compositions (2 of 2),y,6/14/92,KKV
AWM SC 13062,12,,,Ramachandran,V. Ramachandran ,Toronto Concert (Part I and 2),,Toronto,
AWM SC 13063,12,,,Ramachandran,V. Ramachandran,Vocal,y,,
AWM SC 13064,12,,,Ramachandran,"V. Ramachandran, M. Chandrasekaran, Mannargudi Easwaran",,y,,KKV
AWM SC 13065,12,,NRflc 007,Ramani,"Ramani, Lalgudi Jayaraman",Flute / Violin,y,8/26/79,H.P.
AWM SC 13066,12,,NRfc003A,Ramani,Ramani,Flute Concert,,"Detroit, 9/30/1983",
AWM SC 13067,12,,NRfc003B,Ramani,Ramani,Flute Concert,,"Detroit, 9/30/1983",
AWM SC 13068(1),12,,Nflc001A,Ramani,N. Ramani,Dr. N. Ramani - Flute (1 of 2),,Apr-89,
AWM SC 13068(2),12,,Nflc001B,Ramani,N. Ramani,Dr. N. Ramani - Flute (1 of 2),,Apr-89,
AWM SC 13069,12,,,Ramani,"Dr. N. Ramani (flute), Kanyakumar, Srimushanam, Rajarao, T.H. Vinayakaram, Srironkom, Kavnon",,y,Mar-91,KKV
AWM SC 13070,12,,,Ramani,"Dr. N. Ramani, A. Kanyakumari, G. Dorai",(1 of 3),,"Detroit, 5/15/1992",KKV
